Catalog Number, Description, 2022, 2021, 2020, 2019
NB11089474, INTEGRIN ALPHA M/CD11 - 0.1 ML, 384.6, 401.35, , 
OB010020, DAPI FLUOROMOUNT G, 56.07, 58.98, , 52.45
OB10001, FLUOROMOUNT-G 25ML, 55.23, 58.02, 57.99, 
OB470005, MOUSE ANTI-MONKEY IGG-HRP, 294.34, 309.02, , 
OMA103061, ANTI-PHOSPHO PKB (PSER473), 418.28, 422.56, , 
OWB1ABP, MINIGEL SYS W/BEP 7X8CM, 642.23, 642.23, , 
OXAN0035A, ANAEROGEN 3.5 L 10SACHTS/PK, 90.11, 86.6, , 
OXCM0587B, RINGENS AGAR BASE, 255.4, 255.4, 273.67, 
OXCM0601B, CLOSTRIDIUM DIFFICILE AGAR, 376.95, 371.91, , 
OXCM0643B, WILKINS CHALGREN ANAER BRO, 249.17, 249.17, , 
OXCM0983B, BOLTON BROTH 500G, 155.49, , , 
OXSR0161E, MSRV SEL SUPP 10 VIALS/PK, 182.14, 182.14, , 
OXTD0940A, TST-RPLA STAPH TXICSHCK 20PK, 686.84, 686.84, 706.63, 
O3196500, IMIDAZOLE CERT 500G, 316.95, 316.95, , 
O35514, 2-METHYL BUTANE CERT 4L, 172.4, 172.4, 166.67, 
PBV500, STRL PC PLAIN VNT 500 ML CS12, 95.08, 91.86, , 
PEZGS0816, MILLICLL EZSLD CLTUR DEVI 16PK, 146.88, 133.73748, 137.59, 125.06
PHCC60050, SCEPTER SENSORS 60UM (50PK)SC, 219.58, 223.26, , 
PIA27034, GOAT ANTI RAB SUPERCLONAL AF48, 282.68, 269.3, , 248.25
PIA32723, GOAT ANTI-MOUSE IGG AFP 488, 331.87, 312.05, 282.66, 284.15
PIA32728, GOAT ANTI-MOUSE IGG AFP 647, 331.87, 327.78, , 
PIA32731, GOAT ANTI-RABBIT IGG AFP 488, 331.87, 312.99, 282.66, 284.15
PIA32733, GOAT ANTI-RABBIT IGG AFP 647, 331.87, 312.99, 282.66, 269.01
PIA32790, A32790-SECONDARY ANTIBODY, 331.87, 317.91, , 
PIA32933, A32933-SECONDARY ANTIBODY, 331.87, 317.91, , 
PIA32953, PIERCE PROTEASE INH MINI TBLTS, 151.13, 151.13, 145.56, 
PIA32955, PIERCE PRO INH TBLTS EDTAFREE, 142.3, 141.31, 137.92, 129.61
PIA32957, PIERCE PHOS INH MIN TBLTS, 186.73, 185.37, 177.52, 170.93
PIA32959, PIERCE PRO PHOS INH MIN TBLTS, 248.45, 248.23, , 230.53
PIA32961, PIERCE PRO PHOS INH EDTAFREE, 259.02, 262.49, 253.52, 
PIA32965, PIERCE PRO INH TBLTS EDTA-FREE, 300.22, 299.52, 282.26, 271.4
PIA32993, TIO2 PHOSPHOPEPTIDE ENRICH, 543.04, 544.5, , 
PIA33545, DSSO-DISUCCINIMIDYL SULFOXIDE, 335.08, 335.08, , 
PIA34075, SUPRSGNL WST DURA 100ML 1/PK, 305.46, 317.75, 296.18, 
PIA36797, ANTI-DYKDDDDK MAG AGAROSE 1ML, 414.55, 415.85, 406.5, 
PIA39239, PIERCE FLEXMIX CALIBRATION SOL, 295.29, 283.8, 275.0, 
PIA39266, BS3 NO-WEIGH, 167.4, 166.54, 161.0, 
PIA39552, PIERCE ENDOTOXIN QUANT 60RXN, 380.49, 380.95, 370.5, 
PIA40009, TRYPSIN/LYS-C MIX, 151.42, , , 
PIA53225, PROT ASY RPD GLD BCA 500ML, 218.53, 218.4, , 
PICM03050, MILLICELL CM .4UM 30MM 50/PK, 383.64, 383.64, , 
PIHP03050, MILLICELL PCF .4UM 30MM 50/PK, 306.29, 312.48, 300.11, 
PIMA191114, ANTI-CANINE PARVOVIRUS MONOCLO, 501.27, , , 
PIMA511869, ACTIN PAN MAB, 379.08, 373.19, , 
PIMA514520, KI-67 MAB, 430.07, 423.54, , 
PIMA515738, GAPDH LOADING CONTROL MAB, 303.06, 283.77, , 224.33
PIMA516372, ANTI-KERATIN 5, 443.51, , , 
PIMA527769, MA527769-ANTIBODY, 380.38, 394.91, , 
PIPA5110798, IKZF5 ANTIBODY, 384.66, , , 
PIPA527287, ANTI-TAU, 429.72, 423.54, , 
PIPA529012, ANTI-PGP9.5, 430.77, 422.73, , 
PIPA552522, MYOMEGALIN ANTIBODY, 431.74, 423.54, , 
PIPA565433, IKZF4 ANTIBODY, 384.54, , , 
PIPA585343, PA585343-ANTIBODY, 380.98, 356.37, , 
PI15036, SEALING TAPE FOR 96WELL 100/PK, 94.08, 86.32, , 
PI15041, REACTI-BIND 96WELL PL 100/PK, 466.2, 428.26, , 401.15
PI15075, RESERVOIRS 200/PK, 187.26, 181.24, , 
PI20221, IMMOBILIZED IMINOBIOTIN 5ML/PK, 170.23, , , 
PI20398, IMMOBILIZED PROTEIN G 2ML/PK, 336.71, 338.07, , 
PI20423, PROTEIN A/G PLUS AGAROSE, 452.09, 453.56, 440.67, 419.69
PI21059, RESTORE WESTERNBLOT STRP 500ML, 151.82, 140.65, 138.55, 133.22
PI21063, RESTORE STRIPPING BUFFER, 672.78, 629.43, 617.68, 
PI21122, STREPTAVIDIN 1MG, 161.66, 155.0, 149.45, 
PI22589, SULFO SANPAH 50MG/PK, 313.26, 314.14, 306.28, 
PI22980, EDC 5GM  1/PK, 138.81, 138.62, , 
PI23200, COOMASSIE REAGENT 950ML/PK, 150.59, 150.59, 134.68, 
PI23209, BSA STANDARD 10/PK, 85.35, 85.76, 82.94, 
PI23223, BCA REAGENT A 1000ML/PK, 172.99, 173.99, 168.59, 
PI23225, BCA KIT 1/PK, 238.44, 237.62, 230.7, 
PI23227, BCA PROTEIN ASSAY KIT, 154.29, 154.11, 149.52, 
PI23228, BCA PROTEIN ASSAY RGT 500ML, 112.55, 112.55, , 104.33
PI23235, MICRO BCA KIT 480 ASSAYS, 276.24, 276.24, 267.8, 
PI23236, BRADFORD PROTEIN ASSAY 950ML, 247.61, 247.32, , 
PI23238, COOMASSIE PLUS 200 PROT REAGET, 195.46, 195.46, , 
PI23246, DETERGENT BRADFORD ASSAY, 183.61, 183.61, , 166.27
PI23275, PIERCE QUANTITATIVE COLORIMETR, 383.6, 384.94, 366.6, 
PI23290, PIERCE QUANTITATIVE FLUOROMETR, 418.3, 419.84, , 
PI24115, GUANIDINE HCL 8 M 200ML/PK, 277.62, 278.23, 269.88, 
PI24612, GELCODE SILVERSNAP, 196.02, 196.46, 190.0, 
PI26181, PIERCE ANTI-HA AGAROSE, 617.17, 620.14, , 574.71
PI26183, ANTI-HA ANTIBODY 100 UGANTI-H, 228.02, 227.68, 197.09, 
PI26183D550, HA TAG MAB DYLIGHT 550, 228.35, 223.13, , 
PI26197, PIERCE NHS-ACTVTD AGAROSE DRY, 507.41, 508.6, , 109.68 (matched with similar item: PI26196)
PI26616, PAGERULER LADDER 2X250 UL, 132.32, 130.71, 127.13, 122.24
PI26617, PAGERULER LADDER 10X250 UL, 558.77, 560.9, , 521.94
PI26619, PAGERULER PLUS LADDER 2X250UL, 152.14, 150.21, 142.49, 135.08
PI26620, PAGERULER PLUS LADDER 10X250UL, 661.43, 656.55, 622.68, 590.18
PI26623, SPECTRA PROTEIN LADDER 10X250U, 619.87, 620.07, 606.72, 581.92
PI26625, SPECTRA HI RANGE LADDER 2X250U, 179.24, 172.59, , 157.38
PI26634, SPECTRA PROTEIN LADDER 2X250U, 143.94, 143.23, 135.85, 129.54
PI28358, 20X TBS BUFFER, 107.86, 109.7, 105.7, 
PI28360, 20X TBS TWEEN-20 BUFFER, 109.7, 109.7, , 
PI28905, FORMIC ACID 99+% 10X1ML 10/PK, 116.74, 116.74, , 
PI28908, 16% FORMLDHYD 10X10ML 10PK, 78.78, 78.78, 76.86, 
PI29204, HI CAP NEUTRAVID AGAR RES 10ML, 616.22, 619.42, , 
PI31430, GT ANTI MS IGG (H+L) HRP C 2ML, 201.1, 203.67, 196.52, 188.43
PI31439, GOAT ANT MOUS IGG FC1.5ML, 245.33, 234.43, , 214.36
PI31460, GT ANT RB IGG H+L HRP 2ML, 201.1, 203.67, , 188.43
PI32106, ECL WESTERN BLOTTING SUB 500ML, 219.21, 220.76, 208.65, 199.25
PI32209, ECL WESTERN BLOTTING SUB 250ML, 161.48, 161.81, 156.85, 148.65
PI34024, SLOW TMB 250ML/PK, 116.3, 115.68, , 
PI34028, 1-STEP ULTRA TMB ELISA, 193.11, 193.11, , 
PI34029, 1-STEP ULTRA TMB, 561.8, 563.45, , 
PI34076, SUPERSIGNAL WEST DURA, 540.15, 528.89, 491.91, 459.88
PI34090, CL-XPOSURE FILM 5X7IN 100/PK, 186.2, 187.3, 178.07, 
PI34091, CL-XPOSURE FILM 8X10IN 100/PK, 305.65, 305.65, 294.35, 
PI34094, SUPERSIGNAL, 107.29, 105.65, , 
PI34095, SUPERSIGNAL WEST FEMTO, 330.32, 325.6, 305.49, 485.95 (matched with similar item: PI34096)
PI34096, SUPERSIGNAL WEST FEMTO, 548.87, 533.78, 499.93, 485.95
PI34577, SUPERSIGNAL WEST PICO PLUS, 168.31, 169.02, 164.5, 263.21 (matched with similar item: PI34580)
PI34578, SUPERSIGNAL WEST PICO PLUS, 492.16, 492.16, 478.56, 263.21 (matched with similar item: PI34580)
PI34580, SUPERSIGNAL WEST PICO PLUS, 280.08, 281.58, 273.74, 263.21
PI37074, SUPERSIGNAL ELISA FEMTO, 579.6, 551.28, , 510.46
PI37525, BSA IN PBS 10X SOLUT 200ML/PK, 200.72, 201.45, , 
PI37535, SUPERBLOCK BUFFER IN TBS 1/PK, 271.05, 246.32, , 
PI37570, PR-FREE TBS BLK BUFF, 224.16, 232.36, , 
PI37571, PR-FREE T20 TBS BLK BUFF, 251.36, 250.31, , 
PI39000, LANE MARKER BUFFER 5ML/PK, 92.24, 85.76, 83.0, 
PI44980, IGG1 FAB F(AB )2 PREP KIT, 740.27, , , 
PI44985, FAB PREPARATION KIT 1EA, 626.52, 636.25, , 
PI45206, MELON GEL IGG SPIN PURIF KIT, 341.4, 343.06, , 
PI46430, RESTORE PLUS STRIPPING 500ML, 157.68, 143.63, 137.13, 126.68
PI62249, HOECHST 33342 SOLUTION, 109.73, 104.71, , 
PI62251, DRAQ5 FLUORESCENT PROBE, 436.5, 435.13, , 
PI66330, SLIDE-A-LYZER DIALYS CASS10PK, 113.87, 115.36, , 
PI66380, SLIDE-ALYZER DIALYS CST 10/PK, 110.82, 112.27, 109.51, 107.18
PI68011, SNAKESKIN DIALYSIS CLIPS 6/PK, 68.2, 68.87, , 
PI68035, SNAKESKIN DIALYSIS TUBING 3.5K, 157.45, 158.99, , 
PI68100, SNAKESKIN DIALYSIS TUBING 10K, 157.45, 159.36, 154.74, 
PI69562, SLIDE-A-LYZR MINI DIAL 250U/PK, 612.04, 587.78, 582.87, 
PI69725, HANDEE SPIN COLUMN 50/PK, 172.99, 173.0, , 
PI700062, VINCULIN AB (42H89L44), 425.92, 398.58, , 308.07
PI77016, BIODYNE B PRE-CUT MEMBRA 25/PK, 351.07, 327.27, 318.43, 
PI78420, HALT PHOSPHATASE INHIB COCKTAL, 195.28, 192.0, 184.79, 
PI78425, HLT PRTS INHCCK 24X100UL 24PK, 181.93, 182.39, 177.49, 
PI78426, PHOSPHATASE INHIB 5 X 1ML, 692.36, 693.72, , 
PI78429, PROTEASE INHIB COCKTAIL 5ML, 370.78, 372.14, 361.62, 
PI78430, HLT PRTS INHCCK 24X100UL 24PK, 190.59, 191.6, 186.59, 
PI78439, PROTEASE INHIB EDTA FREE 10ML, 486.73, 487.55, , 453.09
PI78440, HALT PROTEASE AND PHOSPHATASE, 254.35, 255.53, 249.25, 
PI78441, HALT PROTEASE AND PHOSPHATASE, 244.06, 244.59, 238.28, 
PI78442, HALT PROTEASE AND PHOSPHATASE, 352.52, 353.95, 249.25 (matched with similar item: PI78440), 
PI78443, HALT PROTEASE PHOSPHATASE SING, 332.39, 332.47, 323.48, 308.07
PI78444, HALT PROTEASE AND PHOSPHATASE, 718.14, 719.84, 702.38, 
PI78510, T-PER TISSUE PROTEIN 500ML, 376.1, 376.96, , 
PI78833, NE-PER NUCL CYTO EXTRACTION KT, 270.12, 272.25, 269.5, 
PI78835, NE-PER PROTEIN EXCT KTNE-PER, 738.12, 742.95, 737.5, 
PI78840, PIERCE SUBCELLULAR FRACT KIT, 550.55, 560.46, 544.43, 
PI80196, PIERCE ECL 2, 344.35, 338.68, 328.69, 311.85
PI80196X3, PIERCE ECL 2 SUBSRATE 3X100ML, 649.93, 661.96, , 
PI84868, PIERCE HIGH PH REVERSED-PHASE, 288.87, 290.2, , 
PI85162, TOP 2 ABUNDENT PROTEIN DEPLETI, 805.65, 645.22, , 
PI85178, FORMIC ACID LC-MS GRADE 50ML, 172.69, 172.69, , 147.91
PI87765, ZEBA SPIN DESALTING COLUM 50PK, 288.73, 271.0 (matched with similar item: PI87767), , 
PI87766, ZEBA SPIN DESALTING COLUM 25PK, 152.58, 152.58, , 
PI87769, ZEBA COLUMNS 4OK 2MLZEBA COL, 269.26, 269.26, , 
PI87784, C18 TIPS 100 5L 96/PKG, 319.12, 319.12, 307.84, 
PI87786, HALT PROTA INHBTR COCKTAL EDTA, 105.13, 98.68, , 
PI87791, PIERCE TISSUE STRAINER 250UMP, 146.31, 148.59, , 
PI88018, NITROCELLULOSE MEMBRANE 1/PK, 412.74, 415.81, , 
PI88024, NITROCELLULOSE MEMBRANE 15/PK, 130.07, 130.0, , 
PI88221, HISPUR NI-NTA RESIN 10 ML 1PK, 114.26, 114.9, 111.56, 106.24
PI88222, HISPUR NI-NTA RESIN 100 ML 1PK, 848.74, 852.37, 830.3, 790.76
PI88323, LTQ VELOS POS ION CAL, 250.42, 250.31, 243.36, 
PI88324, ESI NEG ION CAL SOLN, 244.79, 245.32, , 
PI88404, SLIDE-A-LYZER MINI 10K 2 MLS, 260.28, 249.85, , 263.77
PI88513, PIERCE CONCENTRATOR 10K/0.5 ML, 124.52, 119.13, 123.14, 117.22
PI88518, PVDF MEMBRANE, 421.33, 421.33, 407.7, 
PI88533, PES CONCENTRATOR100K 20ML 24P, 328.56, 328.56, 312.52, 
PI88600, WESTRN BLOTNG FILTR PAPR 100PK, 71.97, 71.91, 69.15, 
PI88605, EXTRA THICK PAPER 50 SHEETS, 62.87, 63.16, , 
PI88802, PIERCE PROTEIN AG MAG BEADS, 202.47, 196.94, 820.67 (matched with similar item: PI88803), 181.99
PI88803, PIERCE PROTEIN AG MAG BEADS, 836.26, 841.55, 820.67, 181.99 (matched with similar item: PI88802)
PI88816, PIERCE STREPTAVIDIN MAGNETIC B, 360.16, 361.01, 351.23, 
PI88831, HISPUR NI-NTA MAGNETIC BEADS, 247.88, 248.77, , 232.3
PI88836, PIERCE ANTI-HA MAGNETIC BEADS, 314.39, 315.29, 306.47, 291.87
PI89821, B-PER COMPLETE, 327.32, 316.29, , 300.18
PI89842, MEM-PER PLUS KIT, 406.29, 408.0, 350.19, 333.51
PI89851, PEPTIDE DESALTING COLUMNS 50PC, 365.79, 366.99, , 
PI89870, C18 SPIN COL 25/PK, 139.62, 139.62, , 
PI89873, PEPCLEAN C18 SPIN COL 50/PK, 243.85, 245.32, 237.64, 
PI89882, ZEBA DESALT 25/PK, 155.57, 155.57, 151.42, 
PI89883, ZEBA DESALT SPIN 1/PK, 282.22, 282.22, , 
PI89892, ZEBA SPIN COLUMNS 5ML 25/PK, 349.0, , , 
PI89900, RIPA BUFFER 100 ML, 105.91, 107.95, 105.49, 92.92
PI89901, RIPA BUFFER 250 ML, 241.04, 245.32, , 
PI89965, HISPUR COBALT RESIN 100ML, 858.79, 838.69, , 
PRAS1030, MAXWELL16 TISSUEDNA PUR 48PREP, 455.81, 436.11, 409.16, 
PRAS1120, MAXWELL 16 MOUSE TAIL DNA, 430.24, 373.734, , 
PRAS1390, MAXWELL(R) RSC SIMPLYRNA CELLS, 352.34, , , 
PRAS1520, MAXWELL RSC WHOLE BLOOD DNA KT, 404.5, 378.0, , 
PRAS1600, MAXWELL(R) RSC PUREFOOD GMO, 440.74, , , 
PRA1222, PUREYIELD MINIPREP 250 PREPS, 410.9, 420.22, 399.76, 
PRA1223, PUREYIELD MINIPREP 100 PREPS, 196.23, 195.71, , 
PRA1360, PGEM T EASY VECTOR SYSTEM I, 193.49, 196.26, 186.81, 
PRA1460, WIZARD PLS SV MINIPREP 250PREP, 342.48, 329.44, , 302.94
PRA2361, WIZ SV GEN DNAPRFYSYS 1X250PRP, 582.12, 594.23, , 
PRA2492, PUREYIELD PLASMID MIDIPREP, 282.4, 282.82, 268.95, 
PRA9282, WIZARD SV GELPCR CLEAN UP SYS, 524.85, 536.16, 498.19, 
PRE1200, PROFECTION CACL2 TRANSFECTION, 228.22, 216.91, , 
PRE1910, DLR 100 ASSAYS, 303.58, 291.06, 273.68, 262.0
PRE2311, FUGENE HD, 652.25, 641.0, 622.3, 536.0
PRE2691, FUGENE(R)6 TRANSFECTION REAGEN, 503.08, 478.13, 465.36, 454.01
PRE2820, RENILLA LUCIFERASE ASSAY SYS, 894.57, , , 
PRE2920, DUAL-GLO ASSAY 10ML, 276.72, 285.34, , 
PRE4550, LUCIFERASE 1000 ASSAY SYSTEM, 824.99, 843.31, , 
PRG1780, CYTOTOX 96, 386.37, 384.18, 373.78, 
PRG2101, LADDER 100BP DNA 250UL, 140.32, 142.63, 132.59, 
PRG3221, HALOTAG R110 DIRECT LIGAND, 747.69, 747.69, , 
PRG3580, CELLTITER 96 AQ ONE SOLUTION, 404.74, 413.51, 368.29, 359.3
PRG4000, CELLITOTER 96 ASSAY 1000, 360.02, 357.27, , 
PRG5711, DNA LADDER 1KB, 150.74, 154.06, 147.05, 
PRG7571, CELLTITER-GLO 10 X 10ML, 629.77, 617.5, 603.24, 
PRG7790, APO-ONE ASSAY 10ML, 570.07, 551.58, , 
PRG8080, CELL-BLUE VIABILITY ASSY 20ML, 169.58, 167.1, , 
PRG8081, CELL-BLUE VIABILITY ASSY 100ML, 419.3, 423.8, , 
PRG8091, CASPASE-GLO 3/7 ASSAY 10ML, 557.02, 534.0, 555.46, 470.55
PRG8231, BACTITR-GLO ASSAY 10X10ML, 627.85, , , 
PRG8461, CELLTITER-GLO 1 SOL ASSY 100ML, 519.15, , , 
PRG8820, ROS-GLO(TM) H2O2 ASSAY 10ML, 453.5, 423.5, , 
PRG9071, NAD/NADH-GLO(TM) ASSAY, 580.65, 582.79, , 
PRG9081, NADP/NADPH-GLO  ASSAY, 580.65, 582.76, , 
PRG9242, CELLTITER-GLO 2.0 ASSAY 100ML, 516.99, 550.94, 495.25, 
PRG9681, CELLTITER-GLO 3D CELLASY10ML, 150.33, 153.35, , 
PRMC5005, PROTEINASE K (PK) SOLUTION, 161.96, 165.82, , 
PRM1705, M MLV REV TRCT RNASE 50000U, 275.04, 278.66, , 255.27
PRM1804, T4 DNA LIGASE 1X500U WEISS, 206.87, 211.01, , 
PRM3005, GOTAQ DNA POLYMERASE, 156.11, 158.86, 151.1, 
PRM3008, GOTAQ DNA POLYMERASE, 724.03, 740.44, 704.01, 
PRM7122, GOTAQ GREEN MASTER MIX, 52.14, 53.53, 50.85, 47.16
PRM7123, GOTAQ GREEN MASTER MIX, 457.28, 466.79, 443.15, 410.35
PRM7423, GOTAQ G2 HS GREEN MM1000 RXN, 586.12, 599.34, , 
PRM7823, GOTAQ G2 GREEN MMX 1000 RXN, 316.66, 323.71, 310.65, 
PRM8295, GOTAQ FLEXI DNA POLYMERASE, 152.26, 145.11960000000002, 149.3, 145.29
PRN1110, NANO-GLO(TM) LUCIFERASE ASSAY, 181.1, 181.6, 172.1, 
PRN2615, RNASIN PLUS RNASE INHIBITOR, 367.54, 375.22, 356.83, 330.23
PRU1100, PRIME-A-GENE LABELING SYSTEM, 293.58, 273.4, , 
PRV4831, PNGASE F, 187.7, 186.37, , 
PRV5073, TRYPSIN/LYS-C MIX MASS SPEC, 195.38, 183.73, 178.88, 
PRV5111, MODIFIED TRYPSIN SEQ GRD 100UG, 107.17, 108.58, 106.0, 100.73
PRV6930, ADP-GLO KIN ASY 400 ASSAYS, 276.61, 276.0, , 
PR0G0T0S2, PROGARD TS2 (SILVER-IMPREGNATE, 565.22, 565.22, 581.5, 
PR0G000T3, PROGARD T3, 548.11, 548.11, 563.9, 
P2173, POT CHLORIDE CERT ACS 3KG, 665.62, 665.62, , 
P217500, POT CHLORIDE ACS 500G, 134.26, 134.26, 138.13, 
P23700043, ST AIA-PACK FT4 100/EA, 645.28, 678.65, 636.0, 
P23700053, ST AIA-PACK TSH 100/EA, 727.81, 766.15, 718.0, 
P24941G, POTASSIUM (ACETOXYMETHYL)TR 1G, 196.51, , , 
P2633, POT NITRATE CERTIF ACS 3KG, 667.12, 667.12, , 
P2853, POT PHOSPHATE MONO CR ACS 3KG, 574.85, 574.85, , 
P285500, POT PHOSPHATE MONO CR ACS 500G, 146.85, 146.85, 151.08, 
P290212, POT PHOSP ANHY DIBA USP 2.5KG, 758.8, 758.8, 711.97, 
P3994, PENTANE HPLC GRADE 4L, 80.75, 80.75, 83.08, 
P410500, POTASSIUM IODIDE CERT ACS 500G, 589.06, 589.06, 606.03, 
P6000B, PIL-6 QKIT 1 KT, 567.04, , , 
QGARDT1X1, Q-GARD T1 (1/PK), 709.02, 725.79, 688.82, 
QGARDT2X1, Q-GARD T2 (1/PK), 669.53, 669.53, 688.82, 
QGARD00D2, Q-GARD 2, 474.08, 474.08, 440.66, 
QIA581000TE, BRDU CELL PROLIFERATION ASSAY, 772.01, 784.72, , 
QK210, HTNF-A QUICKIT 1 KT, 553.66, , , 
QPAK00TEX, Q-PAK TEX, 595.65, 595.65, 612.81, 
QTUMMPEIX, QUANTUM IX W/EXPRESS 20 FILTER, 819.26, 830.32, 770.08, 
QTUM0TEX1, QUANTUM TEX (1/PK), 583.66, 583.66, 600.47, 
QTUM0TIX1, QUANTUM TIX (1/PK), 656.52, 672.01, , 
QTUM000EX, QUANTUM EX, 567.5, 575.3, 529.91, 
RSK300SD5, RACK KIT 15 CU FT 5 DR (300), 834.21, , , 
RSOA001020F, ACETONE ACS REAGENT GRADE, 192.85, 192.85, , 
R01202, BLOOD AGAR 100/PK, 466.44, 466.44, 479.88, 
R01247, BRILLIANT GREEN W/NOVO 10/PK, 120.18, 120.18, 123.64, 
R01292, CETRIMIDE AGAR 10/PK, 111.66, , , 
R01302, CHOCOLATE AGAR 100/CS, 430.75, 430.75, 443.16, 
R01322, COLUMBIA CNA AGAR W/BLD 100/CS, 450.77, 450.77, 463.75, 
R01552, MACCONKEY AGAR 100/CS, 456.36, 456.36, 469.51, 
R01630, MYCOBIOTIC AGAR(MYCOCEL)10/PK, 80.08, 80.08, 82.39, 
R061300, LYSINE IRON AGR(LIA)SLNT 100CS, 745.35, 745.35, , 
R064439, SALINE 0.85% 3ML PLS TB 100/PK, 730.44, , , 
R064500, SELENITE BROTH-9 ML 100/CS, 743.32, 743.32, 764.73, 
R064850, TRIPL SGAR IRON AGR SLNT 100CS, 844.06, 844.06, 868.37, 
R07174, THIOGLYCOLLATE M W/ IND 20/PK, 131.59, 137.28 (matched with similar item: R064692), , 
R110464, M XLT4 REMEL 100/CS, 727.54, 727.54, 748.5, 
R111101, CONTACT I TSA W/POLY 80 20/PK, 351.22, 347.49, , 
R111800, STERILE PACK CONTACT 10/PK, 124.08, 124.08, 127.65, 
R111870, STERILE PACK TRYPTIC SOY 10/PK, 81.52, 80.79, , 
R112478, MH BROTH W/CAT W/LHB 100 ML, 63.31, , , 
R112641, FLUID THIO 100 ML SE 10/CS, 197.19, 197.19, , 
R112731, TRYPTIC SOY BROTH 10 10/CS, 202.19, 202.19, , 
R112740, TSB 1000ML 4/CS, 237.63, 237.63, 227.17, 
R112758, TRYPTIC SOY BROTH 25 10/CS, 159.08, 159.08, 153.26, 
R114352, IODINE F/TETRTHIO HAJNA 500ML, 383.27, 383.27, 394.31, 
R117800, THIO W/ HUNGATE 20/PK, 220.81, 220.81, 227.17, 
R117834, TSB W/HUNGATE 10ML 20/PKTSB W, 194.35, 194.35, 199.95, 
R12588, M4RT W/NP BRK-PT SWAB 100/PK, 664.86, 664.86, , 
R30852701, PHYTOHAEMGGLTININ RGNT GRD 1PK, 181.63, 181.63, , 
R30858301, WELLCOLEX COL SALMON 50/PK  RX, 633.42, 633.42, , 
R40080, GRAM STAIN SET 4X250ML W/TRAY, 116.31, 116.31, , 
R450331, EGG YOLK TELLURITE 100ML 10/PK, 583.63, 583.63, , 
R45037, FILDES ENRICHMENT 5ML 20/PK, 260.49, 260.49, 267.99, 
R452352, BCYE AGAR 500G, 446.69, 446.69, 459.56, 
R452472, BRAIN HRT INFUSION BROTH 500G, 226.91, 226.91, , 
R452552, BRILLIANT GREEN AGAR 500G, 198.12, 198.12, 203.83, 
R452672, BUFFERED PEPTONE WATER 500G, 161.38, 161.38, 166.03, 
R455054, TRYPTIC SOY BROTH 2.5 KG, 499.23, , , 
R459802, XLT4 AGAR BASE 500GM, 280.84, 280.84, 288.93, 
R62025, PATHODX STR GRP KIT-ABCFG 60PK, 635.46, 635.46, 653.77, 
R65055, OXOID ANAEROBIC INDICATOR100PK, 93.12, 93.12, , 
R681005, ANAEROPK MICROAERO SACHET 20PK, 123.74, 123.74, 127.3, 
R723040, AMIES CHARCOAL SINGL SWB 500CS, 662.19, 662.19, 640.16, 
SB2200225, TRIGLYCERIDE TST SET 250ML  RX, 490.69, 500.91, , 
SCGPS01RE, STERITOP-GP 33MM 150ML 12/PK, 74.65, 68.45796, 70.43, 64.39
SCGPS05RE, STERITOP-GP 33MM 500ML 12/PK, 93.53, 89.06, 91.63, 86.74
SCGP00525, STERIFLP FLT 50ML 0.22UM 25/PK, 153.54, 139.0446, 143.05, 135.96
SCMF001, FIBROGRO COMPLETE MEDIA KIT, 133.81, 136.23, 140.21, 
SCM106, HUMANOPC SPONTANOUSDIFERENTIAT, 122.59, , , 
SEL002, ELISPOT BLUE COLOR MOD 1 PK, 134.25, 129.0, , 
SE1M003M00, STERIFLIP-HV 0.45PVDF RS 25/PK, 161.78, 146.80116, , 143.42
SE1M179M6, STERIFLIP-GV 0.22UM RS 25/PK, 165.84, 150.08651999999998, 154.41, 146.73
SE25010A10, SE250 MIGHTY SMALL, 848.51, 780.85, , 
SF10020, 10% BUFFERED FORMALIN CR 20L, 132.45, 132.45, 128.32, 
SF1004, 10% BUFFERED FORMALIN CR 4L, 45.98, 45.98, 44.47, 
SH30022FS, DMEM/HI GLUC W LGLUT 500ML 6PK, 112.02, 113.89, , 117.4
SH3002201, DME HIGH LIQUID MEDIA 500ML, 21.08, 21.08, 23.02, 21.75
SH30023FS, DMEM/F12 W LGLUT HPS 500ML 6PK, 160.26, 163.45, 183.0, 
SH3002301, DMEM F12 LIQUID MED 500ML, 29.64, 30.21, , 
SH3002302, DME F121:1LIQUID MED 1000ML, 47.01, 48.25, , 
SH30027FS, RPMI 1640 W L-GLUT 500ML 6PK, 112.02, 113.89, , 116.8
SH30027LS, RPMI 1640 W L-GLUT 1L 6PK, 178.24, 181.7, 198.2, 187.0
SH3002701, RPMI-1640 LIQUID MEDIA 500ML, 20.64, 21.08, 22.97, 21.7
SH30028FS, DPBS 1X WO CA MG PR 500ML 6PK, 95.66, 97.37, , 100.5
SH30028LS, DPBS 1X WO CA MG PR 1L 6PK, 152.08, 156.49, 171.2, 162.4
SH3004201, TRYPSIN 0.25% 1X LIQ 100ML, 15.74, 16.08, , 16.67
SH3008803, STANDARD FBS 500ML, 445.4, 468.79, , 
SH30228FS, IMDM MOD W LGLUT HPS 500ML 6PK, 160.26, 163.45, , 
SH3023601, TRYPSIN 0.05% 1X LIQ 100ML, 20.64, 21.08, , 21.7
SH3023701, HEPES 1M FREE ACID 100ML, 28.94, 29.83, 29.13, 
